TIMESTAMP		DIRECTION	DATA
2016-11-16 19:24:20	>>		0101
2016-11-16 19:24:20	<<		7E80641010007E100
2016-11-16 19:24:26	>>		0101
2016-11-16 19:24:26	<<		7E80641010007E100
2016-11-16 19:24:31	>>		0101
2016-11-16 19:24:31	<<		7E80641010007E100
2016-11-16 19:24:36	>>		0101
2016-11-16 19:24:36	<<		7E80641010007E100
2016-11-16 19:24:41	>>		0101
2016-11-16 19:24:42	<<		7E80641010007E100
2016-11-16 19:24:47	>>		0101
2016-11-16 19:24:47	<<		7E80641010007E100
2016-11-16 19:24:52	>>		0101
2016-11-16 19:24:52	<<		7E80641010007E100
2016-11-16 19:24:57	>>		0101
2016-11-16 19:24:58	<<		7E80641010007E100
2016-11-16 19:25:03	>>		0101
2016-11-16 19:25:03	<<		7E80641010007E100
2016-11-16 19:25:08	>>		0101
2016-11-16 19:25:08	<<		7E80641010007E100
2016-11-16 19:25:13	>>		0101
2016-11-16 19:25:14	<<		7E80641010007E100
2016-11-16 19:25:19	>>		0101
2016-11-16 19:25:19	<<		7E80641010007E100
2016-11-16 19:25:24	>>		0101
2016-11-16 19:25:24	<<		7E80641010007E100
2016-11-16 19:25:29	>>		0101
2016-11-16 19:25:30	<<		7E80641010007E100
2016-11-16 19:25:30	>>		0902
2016-11-16 19:25:30	<<		7E810144902013942467E8215A4835354C58467E82238313639373137
2016-11-16 19:25:30	>>		0904
2016-11-16 19:25:30	<<		7E810134904014250437E8214D3248362E48337E82232000000000000
2016-11-16 19:25:30	>>		0906
2016-11-16 19:25:30	<<		7E8037F0978
2016-11-16 19:25:35	>>		0101
2016-11-16 19:25:36	<<		7E8037F09787E8037F09787E80641010007E100
2016-11-16 19:25:41	>>		0101
2016-11-16 19:25:41	<<		7E80641010007E100
2016-11-16 19:25:46	>>		0101
2016-11-16 19:25:46	<<		7E80641010007E100
2016-11-16 19:25:48	>>		0105
2016-11-16 19:25:48	<<		7E803410580
2016-11-16 19:25:48	>>		010C
2016-11-16 19:25:48	<<		7E804410C1CAB
2016-11-16 19:25:48	>>		010D
2016-11-16 19:25:48	<<		7E803410D20
2016-11-16 19:25:48	>>		010F
2016-11-16 19:25:49	<<		7E803410F5A
2016-11-16 19:25:49	>>		0105
2016-11-16 19:25:49	<<		7E803410580
2016-11-16 19:25:49	>>		010C
2016-11-16 19:25:49	<<		7E804410C1BC8
2016-11-16 19:25:49	>>		010D
2016-11-16 19:25:49	<<		7E803410D20
2016-11-16 19:25:49	>>		010F
2016-11-16 19:25:50	<<		7E803410F5A
2016-11-16 19:25:50	>>		0105
2016-11-16 19:25:50	<<		7E803410580
2016-11-16 19:25:50	>>		010C
2016-11-16 19:25:50	<<		7E804410C1DF6
2016-11-16 19:25:50	>>		010D
2016-11-16 19:25:50	<<		7E803410D22
2016-11-16 19:25:50	>>		010F
2016-11-16 19:25:51	<<		7E803410F5A
2016-11-16 19:25:51	>>		0105
2016-11-16 19:25:51	<<		7E803410580
2016-11-16 19:25:51	>>		010C
2016-11-16 19:25:51	<<		7E804410C202A
